1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageType,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YrSold,Age_House,Age_Renovation,Garage_age,TotalSF
1040,0,0,1,3,1Fam,4,3,906.0,0.0,5,6,1.0,0.0,4,134.0,1,Norm,Norm,SBrkr,0,4,3,HdBoard,HdBoard,4,3,0,CBlock,1,6,384.0,1.0,5,3,Detchd,1040,0,GasA,0,1Story,1,3,Lvl,0,11200,Inside,70.0,3,0,RL,0.0,None,None,0,Sawyer,0,4,5,2,3,CompShg,Hip,Normal,129500.0,WD,0,1,5,1040.0,AllPub,0,2,55,55,55.0,2080.0
1182,1142,0,1,4,1Fam,4,3,998.0,0.0,2,6,1.0,0.0,0,177.0,1,Norm,Norm,SBrkr,0,4,0,WdShing,Wd Shng,4,2,2,PConc,3,6,736.0,3.0,5,0,BuiltIn,2324,0,GasA,0,2Story,1,0,Lvl,0,11924,Inside,85.0,0,0,RL,286.0,Stone,None,0,NridgHt,21,4,9,2,3,CompShg,Hip,Partial,345000.0,New,0,1,11,1175.0,AllPub,147,0,15,14,15.0,3499.0
912,0,0,1,2,1Fam,4,3,737.0,0.0,0,6,1.0,0.0,4,175.0,1,Norm,Norm,SBrkr,0,4,3,HdBoard,Plywood,4,3,0,CBlock,1,6,352.0,1.0,5,3,Detchd,912,0,GasA,4,1Story,1,3,Lvl,0,12968,Inside,67.522,1,0,RL,0.0,None,None,0,Sawyer,0,5,5,2,3,CompShg,Hip,Normal,144000.0,WD,176,1,4,912.0,AllPub,140,2,58,58,58.0,1824.0
1494,0,0,1,3,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,2,1494.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,840.0,3.0,5,2,Attchd,1494,0,GasA,0,1Story,1,2,Lvl,0,10652,Inside,91.0,0,0,RL,306.0,Stone,None,0,CollgCr,33,4,7,2,3,CompShg,Gable,Partial,279500.0,New,0,1,7,1494.0,AllPub,160,1,14,13,14.0,2988.0
1253,0,0,1,2,1Fam,4,3,733.0,0.0,1,6,1.0,0.0,4,520.0,1,Norm,Norm,SBrkr,176,4,3,MetalSd,MetalSd,1,1,1,CBlock,1,6,352.0,1.0,5,2,Attchd,1253,1,GasA,4,1Story,1,3,Lvl,0,10920,Corner,94.868,0,0,RL,212.0,BrkFace,None,0,NAmes,213,4,6,2,3,CompShg,Hip,Normal,157000.0,WD,0,1,5,1253.0,AllPub,0,2,60,60,60.0,2506.0
854,0,0,1,2,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,832.0,1,Norm,Norm,FuseA,0,4,3,Wd Sdng,Wd Sdng,0,3,0,BrkTil,1,6,576.0,2.0,5,3,Detchd,854,0,GasA,0,1.5Unf,1,3,Lvl,0,6120,Corner,51.0,3,0,RM,0.0,None,None,0,BrkSide,112,7,7,2,3,CompShg,Gable,Normal,132000.0,WD,0,1,5,832.0,AllPub,48,1,91,19,29.0,1686.0
1004,0,0,1,2,1Fam,4,3,578.0,0.0,0,6,1.0,0.0,4,426.0,1,Norm,Norm,SBrkr,0,4,3,Wd Sdng,Wd Sdng,4,5,1,CBlock,1,6,480.0,2.0,5,0,Attchd,1004,0,GasA,0,1Story,1,3,Lvl,0,11241,CulDSac,63.054,0,0,RL,180.0,BrkFace,Shed,700,NAmes,0,6,6,2,3,CompShg,Gable,Normal,149000.0,WD,0,1,5,1004.0,AllPub,0,4,50,50,50.0,2008.0
1296,0,0,1,2,Duplex,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,1,Norm,Norm,SBrkr,0,4,3,MetalSd,MetalSd,4,3,0,Slab,2,6,516.0,2.0,5,3,CarPort,1296,0,GasA,4,1Story,2,3,Lvl,0,10791,Inside,72.0,3,0,RL,0.0,None,Shed,500,Sawyer,0,4,4,2,3,CompShg,Gable,Normal,90000.0,WD,0,1,6,0.0,AllPub,0,0,53,53,53.0,1296.0
1114,0,0,1,3,1Fam,4,3,646.0,0.0,2,6,1.0,0.0,4,468.0,1,RRAe,Norm,SBrkr,0,4,3,VinylSd,VinylSd,4,3,0,PConc,1,6,576.0,2.0,5,3,Detchd,1114,1,GasA,0,1Story,1,2,Lvl,0,13695,Inside,66.0,3,0,RL,0.0,None,None,0,SawyerW,102,4,5,2,3,CompShg,Gable,Normal,159000.0,WD,0,1,6,1114.0,AllPub,0,2,16,16,16.0,2228.0
1339,0,0,1,3,1Fam,4,3,504.0,0.0,3,6,0.0,0.0,4,525.0,1,Norm,Norm,SBrkr,0,4,3,BrkFace,Plywood,2,3,0,CBlock,1,2,294.0,1.0,5,3,Attchd,1339,0,GasA,4,1Story,1,3,Lvl,0,7560,Inside,70.0,3,0,RL,0.0,None,None,0,NAmes,0,5,5,2,3,CompShg,Hip,Abnorml,139000.0,COD,0,1,6,1029.0,AllPub,0,3,62,55,62.0,2368.0
1158,1218,0,1,4,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,0,1158.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,2,1,PConc,3,6,853.0,3.0,5,2,BuiltIn,2376,1,GasA,0,2Story,1,2,Lvl,0,14215,Corner,101.0,0,0,RL,380.0,BrkFace,None,0,NridgHt,154,4,8,2,3,CompShg,Gable,Partial,325300.0,New,0,1,9,1158.0,AllPub,240,0,15,14,15.0,3534.0
1108,0,0,0,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,637.0,1,Norm,Norm,FuseF,205,4,3,Wd Sdng,Wd Sdng,0,2,1,PConc,1,6,280.0,1.0,5,3,Attchd,1108,0,GasA,0,1.5Unf,1,2,Bnk,0,7449,Inside,57.0,3,0,RM,0.0,None,None,0,IDOTRR,0,6,7,0,3,CompShg,Gable,Normal,139400.0,WD,0,1,6,637.0,AllPub,0,1,90,70,90.0,1745.0
1795,0,0,1,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,2,1777.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,534.0,2.0,5,2,Attchd,1795,0,GasA,0,1Story,1,2,Lvl,0,9742,Inside,75.0,3,0,RL,281.0,BrkFace,None,0,CollgCr,159,4,8,2,3,CompShg,Hip,Normal,230000.0,WD,0,1,7,1777.0,AllPub,171,2,18,18,18.0,3572.0
1060,0,0,1,3,TwnhsE,4,3,840.0,0.0,2,6,1.0,0.0,2,200.0,1,Norm,Norm,SBrkr,0,4,3,CemntBd,CmentBd,4,5,1,PConc,1,6,572.0,2.0,5,3,Attchd,1060,0,GasA,4,1Story,1,3,Lvl,0,4224,Inside,44.0,3,0,RM,0.0,None,None,0,MeadowV,110,6,5,2,3,CompShg,Gable,Normal,129900.0,WD,0,1,6,1040.0,AllPub,100,1,44,44,44.0,2100.0
1060,0,0,1,3,1Fam,4,2,188.0,668.0,5,0,1.0,0.0,4,204.0,1,Norm,Norm,SBrkr,0,2,3,Plywood,Plywood,2,5,1,CBlock,1,6,270.0,1.0,5,3,Attchd,1060,0,GasA,0,1Story,1,2,Lvl,0,8246,Inside,58.644,0,0,RL,0.0,None,None,0,Sawyer,90,7,5,2,3,CompShg,Gable,Normal,154000.0,WD,0,1,6,1060.0,AllPub,406,4,52,19,52.0,2120.0
1600,0,0,1,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,2,1566.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,890.0,3.0,5,2,Attchd,1600,0,GasA,0,1Story,1,2,Lvl,0,14230,Corner,110.0,3,0,RL,640.0,Stone,None,0,NridgHt,56,4,8,2,3,CompShg,Gable,Normal,256300.0,WD,0,1,7,1566.0,AllPub,0,3,13,13,13.0,3166.0
900,0,0,1,3,1Fam,4,2,234.0,486.0,1,5,0.0,1.0,4,180.0,1,Norm,Norm,SBrkr,0,4,3,Wd Sdng,Wd Sdng,4,3,0,CBlock,1,6,576.0,2.0,5,3,Detchd,900,0,GasA,4,1Story,1,2,Lvl,0,7200,Corner,60.0,3,0,RL,0.0,None,None,0,NAmes,32,6,5,2,3,CompShg,Gable,Normal,134800.0,WD,0,1,5,900.0,AllPub,222,4,69,20,15.0,1800.0
1704,0,0,1,3,1Fam,4,3,1218.0,0.0,2,6,1.0,0.0,0,486.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,772.0,3.0,5,2,Attchd,1704,0,GasA,0,1Story,1,2,Lvl,0,11478,Inside,98.0,3,0,RL,200.0,Stone,None,0,NridgHt,50,4,8,2,3,CompShg,Gable,Normal,306000.0,WD,0,1,7,1704.0,AllPub,0,4,13,12,12.0,3408.0
1600,0,0,1,2,1Fam,4,1,1277.0,0.0,1,6,1.0,0.0,4,207.0,1,Norm,Norm,SBrkr,0,4,3,MetalSd,MetalSd,4,2,2,CBlock,1,6,319.0,1.0,5,2,Attchd,1600,0,GasA,4,1Story,1,3,Lvl,0,16321,CulDSac,47.0,0,0,RL,0.0,None,None,0,NAmes,258,5,5,2,3,CompShg,Gable,Normal,207500.0,WD,0,1,6,1484.0,AllPub,288,0,63,23,63.0,3084.0
520,0,0,1,1,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,520.0,0,Feedr,RRNn,SBrkr,87,4,3,MetalSd,MetalSd,4,3,0,BrkTil,1,6,240.0,1.0,5,3,Detchd,520,0,GasA,1,1Story,1,1,Lvl,0,6324,Inside,60.0,0,0,RM,0.0,None,None,0,BrkSide,0,5,4,2,3,CompShg,Gable,Normal,68500.0,WD,0,1,4,520.0,AllPub,49,2,93,70,100.0,1040.0
649,668,0,2,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,649.0,0,Feedr,Norm,SBrkr,172,1,3,BrkFace,BrkFace,2,3,0,BrkTil,1,6,250.0,1.0,1,3,Detchd,1317,0,GasA,4,2Story,1,3,Lvl,0,8500,Inside,50.0,3,0,C (all),0.0,None,None,0,IDOTRR,54,3,4,0,3,CompShg,Gambrel,Normal,40000.0,WD,0,1,6,649.0,AllPub,0,2,100,70,100.0,1966.0
1228,0,0,1,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,1228.0,1,Norm,Norm,SBrkr,0,4,3,HdBoard,HdBoard,2,3,0,CBlock,1,6,271.0,1.0,5,3,Attchd,1228,1,GasA,2,1Story,1,2,Lvl,0,8544,CulDSac,66.354,0,0,RL,0.0,None,None,0,Sawyer,65,5,5,2,3,CompShg,Gable,Normal,149350.0,WD,0,1,6,1228.0,AllPub,0,2,54,14,54.0,2456.0
1234,0,0,1,3,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,0,1234.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,3,0,PConc,2,6,484.0,2.0,5,2,Attchd,1234,0,GasA,0,1Story,1,2,Lvl,0,11049,Corner,85.0,3,0,RL,0.0,None,None,0,CollgCr,30,4,8,2,3,CompShg,Gable,Normal,179900.0,WD,0,1,7,1234.0,AllPub,0,2,13,13,13.0,2468.0
1700,0,0,1,4,1Fam,4,3,1018.0,0.0,5,6,0.0,1.0,4,380.0,1,Norm,Norm,SBrkr,0,4,3,BrkFace,BrkFace,4,2,1,CBlock,1,6,447.0,2.0,5,2,Attchd,1700,1,GasA,2,1Story,1,2,Lvl,0,10552,Inside,70.0,0,0,RL,0.0,None,None,0,NAmes,38,4,5,2,3,CompShg,Hip,Normal,165500.0,WD,0,1,6,1398.0,AllPub,0,4,61,61,61.0,3098.0
1561,0,0,1,2,TwnhsE,4,3,1153.0,0.0,2,6,1.0,0.0,0,408.0,1,Norm,Norm,SBrkr,0,4,0,MetalSd,MetalSd,4,2,1,PConc,2,6,556.0,2.0,5,0,Attchd,1561,0,GasA,0,1Story,1,0,Lvl,0,7313,Inside,60.0,3,0,RL,246.0,BrkFace,None,0,NridgHt,47,4,9,2,3,CompShg,Hip,Normal,277500.0,WD,0,1,6,1561.0,AllPub,203,1,15,15,15.0,3122.0
1132,1320,0,1,4,1Fam,4,0,0.0,0.0,6,6,0.0,0.0,0,1117.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,2,1,PConc,3,6,691.0,3.0,5,0,BuiltIn,2452,1,GasA,0,2Story,1,2,Lvl,0,13418,Inside,108.0,3,0,RL,132.0,Stone,None,0,NridgHt,32,4,8,2,3,CompShg,Gable,Normal,309000.0,WD,0,1,9,1117.0,AllPub,113,0,16,15,16.0,3569.0
1097,0,0,1,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,2,1097.0,1,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,4,3,0,PConc,1,6,672.0,2.0,5,3,Attchd,1097,1,GasA,0,1Story,1,3,Lvl,0,10859,Corner,112.0,3,0,RL,0.0,None,None,0,CollgCr,64,4,5,2,3,CompShg,Gable,Normal,145000.0,WD,0,1,6,1097.0,AllPub,392,3,26,25,25.0,2194.0
1297,0,0,1,3,1Fam,4,3,1213.0,0.0,5,6,0.0,1.0,4,84.0,1,Norm,Norm,SBrkr,0,4,3,Wd Sdng,Wd Sdng,4,5,1,CBlock,1,6,498.0,2.0,5,0,Attchd,1297,0,GasA,2,1Story,1,3,Lvl,0,8532,Inside,74.0,3,0,RL,650.0,BrkFace,None,0,NAmes,0,5,5,2,3,CompShg,Hip,Normal,153000.0,WD,0,1,5,1297.0,AllPub,0,3,66,30,66.0,2594.0
1057,0,0,1,3,1Fam,4,3,731.0,0.0,2,6,1.0,0.0,4,326.0,1,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,4,3,0,CBlock,1,6,246.0,1.0,5,3,Detchd,1057,0,GasA,4,1Story,1,2,Lvl,0,7922,Inside,68.0,3,0,RL,0.0,None,None,0,NAmes,52,6,5,2,3,CompShg,Gable,Abnorml,109000.0,WD,0,1,5,1057.0,AllPub,0,4,67,13,67.0,2114.0
1152,0,0,1,2,Duplex,2,4,0.0,0.0,4,4,0.0,0.0,3,0.0,0,Norm,Norm,FuseP,0,4,3,AsbShng,Plywood,4,3,0,PConc,2,6,0.0,0.0,3,1,None,1152,0,GasA,4,1Story,2,1,Lvl,0,6040,Inside,65.0,3,0,RL,0.0,None,None,0,Edwards,0,4,4,0,3,CompShg,Gable,AdjLand,82000.0,WD,0,1,6,0.0,AllPub,0,2,65,65,65.0,1152.0
1324,0,0,1,3,1Fam,4,3,643.0,0.0,5,6,0.0,0.0,4,445.0,1,Norm,Norm,SBrkr,0,4,3,Wd Sdng,Wd Sdng,1,5,1,CBlock,2,6,440.0,2.0,5,2,Attchd,1324,0,GasA,0,1Story,1,3,Lvl,0,8658,Inside,84.0,3,0,RL,101.0,BrkFace,None,0,NAmes,138,4,6,2,3,CompShg,Gable,Abnorml,160000.0,WD,0,1,6,1088.0,AllPub,0,0,55,55,55.0,2412.0
1328,0,0,1,2,1Fam,4,1,967.0,0.0,1,6,0.0,1.0,4,383.0,1,Norm,Norm,SBrkr,0,2,3,VinylSd,VinylSd,4,2,2,CBlock,1,6,308.0,1.0,5,2,Attchd,1328,1,GasA,2,1Story,1,3,Lvl,0,16905,Inside,115.0,3,0,RL,0.0,None,None,0,Timber,104,5,5,1,3,CompShg,Gable,Normal,170000.0,WD,0,1,5,1350.0,AllPub,0,1,61,61,61.0,2678.0
884,0,0,1,2,1Fam,4,0,747.0,93.0,0,3,1.0,0.0,2,0.0,1,Norm,Norm,SBrkr,0,4,3,HdBoard,HdBoard,2,3,0,CBlock,1,6,504.0,2.0,2,2,Attchd,884,0,GasA,2,SFoyer,1,2,Lvl,0,9180,CulDSac,69.97,0,0,RL,0.0,None,None,0,SawyerW,0,6,5,2,3,CompShg,Gable,Normal,144000.0,WD,0,1,5,840.0,AllPub,240,1,37,37,37.0,1724.0
938,0,0,1,3,1Fam,4,0,280.0,491.0,3,1,1.0,0.0,2,167.0,1,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,2,3,0,CBlock,1,6,308.0,1.0,5,3,Detchd,938,0,GasA,4,1Story,1,3,Lvl,0,9200,CulDSac,74.9586,0,0,RL,0.0,None,None,0,CollgCr,0,5,5,2,3,CompShg,Hip,Normal,130250.0,WD,0,1,5,938.0,AllPub,145,2,45,40,43.0,1876.0
1150,0,0,1,3,1Fam,4,3,179.0,506.0,0,1,1.0,0.0,4,465.0,1,Norm,Norm,FuseA,0,4,3,BrkFace,Wd Sdng,4,3,0,CBlock,1,6,300.0,1.0,5,2,Attchd,1150,0,GasA,0,1Story,1,3,Lvl,0,7945,Inside,70.0,3,0,RL,0.0,None,None,0,NAmes,0,5,5,2,3,CompShg,Gable,Normal,141000.0,WD,0,1,6,1150.0,AllPub,0,0,61,61,61.0,2300.0
1752,0,0,1,2,TwnhsE,4,3,456.0,0.0,2,6,1.0,0.0,0,1296.0,1,Norm,Norm,SBrkr,0,4,0,MetalSd,MetalSd,4,2,1,PConc,2,6,576.0,2.0,5,2,Attchd,1752,0,GasA,0,1Story,1,0,Lvl,0,7658,Inside,61.0,3,0,RL,412.0,BrkFace,None,0,NridgHt,82,4,9,2,3,CompShg,Hip,Normal,319900.0,WD,0,1,6,1752.0,AllPub,196,4,15,15,15.0,3504.0
1518,631,0,1,1,1Fam,4,3,1351.0,0.0,2,6,1.0,0.0,0,83.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,0,1,PConc,1,6,670.0,2.0,5,2,Attchd,2149,1,GasA,0,1.5Fin,1,2,Lvl,0,12822,CulDSac,48.0,0,0,RL,0.0,None,None,0,Mitchel,43,4,7,2,3,CompShg,Gable,Abnorml,239686.0,WD,198,1,6,1434.0,AllPub,168,3,17,17,17.0,3583.0
1656,0,0,1,3,1Fam,4,0,24.0,0.0,2,6,0.0,0.0,2,1632.0,1,Norm,Norm,SBrkr,0,4,2,VinylSd,VinylSd,4,3,0,PConc,2,6,826.0,3.0,5,2,Attchd,1656,0,GasA,0,1Story,1,2,Lvl,0,11096,Inside,84.0,3,0,FV,0.0,None,None,0,Somerst,146,4,8,2,3,CompShg,Gable,Normal,249700.0,WD,0,1,7,1656.0,AllPub,0,1,14,14,14.0,3312.0
736,716,0,1,2,2fmCon,4,3,0.0,0.0,6,6,0.0,0.0,4,736.0,1,Norm,Norm,SBrkr,102,4,3,MetalSd,MetalSd,4,3,0,BrkTil,2,6,0.0,0.0,3,1,None,1452,0,GasA,2,2Story,3,3,Lvl,0,4456,Inside,33.0,3,0,RM,0.0,None,None,0,OldTown,0,4,4,0,3,CompShg,Gable,Partial,113000.0,New,0,1,8,736.0,AllPub,0,3,100,12,100.0,2188.0
955,0,0,1,3,1Fam,4,3,763.0,0.0,1,6,1.0,0.0,4,192.0,1,Norm,Norm,SBrkr,0,4,3,HdBoard,HdBoard,2,3,0,CBlock,1,6,386.0,1.0,5,3,Attchd,955,0,GasA,0,1Story,1,3,Lvl,0,7742,Inside,66.0,3,0,RL,0.0,None,None,0,Sawyer,0,6,5,2,3,CompShg,Gable,Normal,127000.0,WD,0,1,6,955.0,AllPub,0,1,54,54,54.0,1910.0
794,676,0,1,3,1Fam,4,0,182.0,0.0,2,6,0.0,1.0,2,612.0,1,Norm,Norm,SBrkr,0,4,3,VinylSd,VinylSd,4,3,0,PConc,2,6,388.0,2.0,5,0,Attchd,1470,0,GasA,2,2Story,1,3,Lvl,0,13869,Corner,134.632,1,0,RL,0.0,None,None,0,Gilbert,75,5,6,2,3,CompShg,Gable,Normal,177000.0,WD,0,1,6,794.0,AllPub,0,1,23,23,23.0,2264.0
816,0,0,1,3,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,816.0,1,Norm,Norm,SBrkr,0,4,3,Wd Sdng,Wd Sdng,2,2,1,PConc,1,6,528.0,2.0,5,3,Detchd,1176,0,GasA,4,1.5Fin,1,3,Lvl,0,6240,Inside,52.0,3,360,RM,0.0,None,Shed,400,BrkSide,0,5,6,2,3,CompShg,Gable,Normal,114500.0,WD,0,1,6,816.0,AllPub,112,0,86,70,35.0,1632.0
816,0,0,1,2,Duplex,4,1,104.0,712.0,3,2,1.0,0.0,2,0.0,0,RRNn,Norm,SBrkr,0,4,1,Wd Sdng,Wd Sdng,4,3,0,CBlock,1,6,516.0,2.0,5,3,CarPort,816,0,GasA,4,1Story,1,3,Bnk,1,8472,Corner,110.0,1,0,RM,0.0,None,None,0,IDOTRR,0,4,5,2,3,CompShg,Gable,Normal,110000.0,WD,0,0,5,816.0,AllPub,106,4,57,57,57.0,1632.0
1842,0,0,1,0,1Fam,4,1,1810.0,0.0,2,6,2.0,0.0,0,32.0,1,Norm,Norm,SBrkr,0,4,2,WdShing,Wd Shng,4,2,1,CBlock,0,6,894.0,3.0,5,0,Attchd,1842,1,GasA,2,1Story,1,2,Low,0,50271,Inside,68.0,0,0,RL,0.0,None,None,0,Veenker,72,4,9,2,3,WdShngl,Gable,Normal,385000.0,WD,0,1,5,1842.0,AllPub,857,0,39,33,39.0,3684.0
